listing_id,listing_name,listing_description,neighbourhood_overview,property_type,room_type,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_value,instant_bookable,license
9.75558E+17,Amazing ensuite room in Mascot,"The whole group will enjoy easy access to everything from this centrally located place. An easy 10 minutes drive from the Domestic and International airport, just 5 minutes walking from Mascot train station and 15 minutes from the city CBD. <br />The building has swimming pool, gym, sauna and BBQ area. The apartment is very new and modern.",,Private room in rental unit,Private room,1,1,1,1,1,365,,,,,,,FALSE,Exempt
7.61293E+17,"Large Comfortable room with en-suit, free parking.","Suitable for student or temp workers, large  house, close to nature, walking distance to buses and casula station.",,Private room in home,Private room,1,1,1,1,90,90,,,,,,,TRUE,
1.22938E+18,Private Room Near USYD And CBD,"Welcome to our charming and conveniently located room. Close to public transport, and walking distance from shopping centers and the Sydney CBD. If you're seeking a comfortable and affordable accommodation option with easy access to all the city has to offer, this is the perfect place for you!<br /><br />This room is thoughtfully designed to ensure your comfort during your stay. The room is part of a well-maintained residence, providing a welcoming and convenient environment.","Darlington is a delightful and picturesque suburb located in Sydney. This charming neighborhood is a stone's throw from the bustling Central Business District, offering a unique blend of history and modernity that captures the hearts of all who visit.<br /><br />This suburb has amazing local cafes such as Henry Lee's, and plenty of activities within walking distance, such as Carriageworks Farmers Market, Glebe Markets, Newtown King Street, Broadway Shopping Centre, Sydney CBD, and more.",Private room in home,Private room,1,1.5,1,1,1,365,,,,,,,FALSE,PID-STRA-66934
31177602,1 bed for rent,,,Private room in home,Private room,1,1,0,1,90,1125,,,,,,,TRUE,
18827886,1 bed available in a share room,"Hey people!<br /><br />I have a 1 bed available in a share room <br /><br />The house is in Bondi Junction, it has four bed rooms, four full bathrooms, and a fairly beautiful big back yard. It's a good house with good people. An amazing location bein",,Shared room in home,Shared room,1,1,1,1,90,1125,,,,,,,FALSE,
23901982,Fully furnished room available in Pennant Hills,Large 5 bedroom house with spacious rooms and shared bathroom and kitchen.,Close to M2 motorway castle hills Westfield easy access to Pennant hills station,Private room in bungalow,Private room,1,2,1,3,90,90,,,,,,,FALSE,
39849575,旅行者之家,"2-storey Townhome, New",Shops and supermarkets nearby,Private room in townhouse,Private room,1,,1,,90,1125,,,,,,,FALSE,
45357810,The pad,,,Private room in home,Private room,1,1,0,1,90,365,,,,,,,TRUE,
1.15644E+18,nice & cozy bedroom in Hornsby,"My place is in close vicinity to bus stop, train stations, Westfield shopping mall and walking distance to bush tracks. It boasts an ample sized bedroom, a new stylish queen bed, a desk and a built-in wardrobe. It has a dedicated bathroom just across the bedroom. Guests can also access the brand new kitchen and spacious living rooms. Be it travelling to work, visit friends or as a tourist, my place is right for you. The friendly host and her family incl a cute Labrador also live in the house.",,Private room in bed and breakfast,Private room,1,1,1,1,1,365,,,,,,,FALSE,PID-STRA-52546
1.2208E+18,Room to Share nr CBD,peaceful and centrally located place.<br />1 room and bathroom to share with 1 male in a big house.,,Shared room in home,Shared room,1,1,,1,90,365,,,,,,,FALSE,
1.16211E+18,Glebe $40 Micro-backpackers 1.1 Bunk Room,"1 x bunk bed in shared room with shared bathroom, kitchen, laundry.<br />Cleaning daily 12-2pm.",,Shared room,Shared room,1,,,,1,7,,,,,,,TRUE,Exempt
1.1961E+18,Modern Double Room - Mins to Airport - Shared Bath,"Welcome to our cozy home conveniently located near the airport and university of New South Wales, especially ideal for travelers with frequent journeys and students alike.<br /><br />Our affordable and well-appointed house offers almost everything you need for a comfortable stay.<br /><br />Whether you're here for a quick layover or an extended business trip, you'll find our place both budget-friendly and accommodating. Enjoy the convenience of easy access to transportation hubs while experiencing a peaceful retrea","Botany is a suburban area in the Eastern Suburbs of Sydney. Situated 10 kilometres south-east of Sydney's central business district, Botany falls within the local government area of the City of Botany Bay. Known for its industrial heritage and vibrant community, Botany offers a blend of residential tranquility and convenient access to Sydney's bustling amenities. The area boasts a rich history intertwined with its shipping and manufacturing past, reflected in its diverse architecture and local landmarks. Botany is celebrated for its proximity to Sydney Airport and its expanding commercial hub, making it an attractive destination for both residents and businesses alike.<br /><br />Botany is also ideally located close to vibrant and trendy neighborhoods such as Waterloo, Zetland, Rosebery, and Alexandria, making it perfect for young adults seeking a lively atmosphere. Additionally, its proximity to various bays around Sydney also makes it suitable for families looking to enjoy coastal li",Private room in home,Private room,1,1,1,1,1,89,,,,,,,TRUE,PID-STRA-68083
1.22221E+18,Single Room - Quaint Spot - Centrally Located,"Welcome to our inviting home at Marayong, perfectly positioned for travelers, whether you're stopping over briefly or staying longer for business. <br /><br />Our affordable and well-equipped house provides all the comforts you need for a pleasant stay. <br /><br />Reserve your stay today and experience firsthand why our guests love the convenient location, affordability, and homely comfort of our place.","Panania , a suburb of local government area City of Canterbury-Bankstown, is located 23 kilometres inner south-west of the Sydney central business district, in the state of New South Wales, Australia, and is a part of the South-western Sydney region. The postcode is 2213, which it shares with adjacent suburbs East Hills and Picnic Point.<br /><br />Panania is bounded on the north by the M5 South Western Motorway and the suburb of Milperra. Picnic Point, to the south, features parklands along the Georges River. East Hills is the suburb to the west and Revesby is located to the east.",Private room in home,Private room,1,1,1,1,1,89,,,,,,,TRUE,PID-STRA-68098
32727818,Masive room available in Randwick,"Room for a girl in a shared hugh house in Randwick!! Only 4 people in the house.<br />Beautiful neighborhood two blocks from Queenspark 15 minutes walking to Bronte and Coogee beach, buses to the city and Bondi Junction just around the corner!! Or you can walk if you prefer too.<br />Available since 8th March",Really quiet and charming neighborhood located strategically well located close to the beach parks and  buses,Shared room in home,Shared room,1,1,1,1,90,365,,,,,,,FALSE,
31394998,BELROSE HIDEAWAY,"Light breezy room over looking the courtyard, have own bathroom and living area.  Bus stop outside the back door. Located near shopping centres. We live in a quiet closed street. Massive yard for animals to enjoy or laz in the sun.","Beautiful national parks close by, our famous beaches minutes away, the New hospital is down the road great coffee shops and restaurants within walking distance",Private room in home,Private room,1,1,2,1,90,1125,,,,,,,FALSE,
43663372,The house is in leafy quiet street.,,,Private room in townhouse,Private room,1,1,1,0,90,365,,,,,,,FALSE,
1.19684E+18,Renovated room: Marrickville,"Hi there,<br /><br />I have a room available for rent in the heart of Marrickville.  It is a large room that is modern and cosy.<br /><br />Features of the house:<br />+ Premium Location<br />+ 2 minutes walk to Marrickville shopping strip - post office, cafes, groceries, restaurants, banks, chemists etc<br />+ 15 minutes walk to Sydenham station, 5 mins walk to Marrickville station<br />+ 5 minutes walk to bus stops - city in 20-30 mins<br />+ Quality furniture provided<br />+ Large double bedroom<br />+ High ceiling & beautiful wooden flooring",,Private room in home,Private room,1,1.5,1,1,2,365,,,,,,,FALSE,PID-STRA-67672
1.17592E+18,Room No 1 - House of Love,"Photo ID before checking🪪<br />.<br />💆🏼‍♀️💆🏻‍♂️💆Kick back and relax in this calm, stylish space.🧘🏼‍♀️🛀🏻<br />.<br />Easy access to train station 🚉💺🚄<br />8 mins🚶🏼‍♀️walking distance, 3 mins by car. Buses in the corner. 🚏🚎<br />.<br />Swimming pool 5 mins walk away!👙🏊🏊🏽‍♀️🩱<br />.<br />Near to golf courses. 🏌️⛳️🏌️‍♀️<br />.<br />Spacious, clean, chic, with high quality appliances.<br />.<br />Full furnished and full kitchen equipments.🪞🖼️🧑🏼‍🍳<br />.<br />Perfect place for couples or families, individuals who love quiet space. 🧑‍🍼🤰🏼🧑🏼‍🦼‍➡️👫👬🧒🏼👧🏾👨🏻‍🦱👱🏼‍♀️👩🏻‍🦳<br />.<br />Internet 🛜, air conditioning, fresh towels and bed sheets.😊",,Private room in home,Private room,1,1.5,1,1,1,365,,,,,,,FALSE,PID-STRA-65504
7407049,Private single room eastern suburbs,"Private single room with en suite bathroom and private separate access. Suit 1 adult and possibly sofa bed for child. Cable TV. Comfortable walk to public transport Sydney buses 3 23–3 26. Close to Bondi, Sydney Harbour ferries and Double Bay shops.",,Private room in home,Private room,1,1,1,1,90,1125,,,,,,,FALSE,
37692015,Super luxury penthouse (STUDY SOFA BED),"***THIS LISTING IS FOR THE STUDY SOFA BED IN THE LIVING ROOM***<br />Hi we are a group of three male students who love to play games - for example: poker, board games, mahjong, etc. All living room amenities and games will be available for you to use.<br /><br />There are currently 3 bedrooms - Master Bedroom, Bed 1 and 2 and a study. Bedrooms 1 and 2 currently have long term tenants.<br /><br />This listing is for the STUDY. For the MASTER BEDROOM listing - please click on this link<br />airbnb.com.au/rooms/37695649",,Shared room in rental unit,Shared room,1,1,1,0,90,1125,,,,,,,FALSE,
9251725,Lovely En-suite Bondi Junction,,,Shared room in rental unit,Shared room,1,2,2,0,90,1125,,,,,,,FALSE,
28134759,Dee why beach,"Great location at Dee Why beach, clean, quite and sequrity building. <br />B1 Express bus to go to city only 4 stops.<br />You can use free gym and heating pool.<br />All bus is front of building. <br />Shops are down above<br />You can walk to dee why beach.",,Private room in rental unit,Private room,1,1,1,1,90,1125,,,,,,,FALSE,
