neighbourhood,city,country
Blacktown,Sydney,Australia
Canterbury,Sydney,Australia
Waverley,Sydney,Australia
Woollahra,Sydney,Australia
Rockdale,Sydney,Australia
Botany Bay,Sydney,Australia
Sydney,Sydney,Australia
Liverpool,Sydney,Australia
Strathfield,Sydney,Australia
Marrickville,Sydney,Australia
North Sydney,Sydney,Australia
Hunters Hill,Sydney,Australia
Bankstown,Sydney,Australia
Hornsby,Sydney,Australia
Parramatta,Sydney,Australia
Burwood,Sydney,Australia
The Hills Shire,Sydney,Australia
Holroyd,Sydney,Australia
Pittwater,Sydney,Australia
Ashfield,Sydney,Australia
Auburn,Sydney,Australia
Mosman,Sydney,Australia
Warringah,Sydney,Australia
Hurstville,Sydney,Australia
Canada Bay,Sydney,Australia
Ryde,Sydney,Australia
Campbelltown,Sydney,Australia
Sutherland Shire,Sydney,Australia
Willoughby,Sydney,Australia
Leichhardt,Sydney,Australia
Fairfield,Sydney,Australia
Camden,Sydney,Australia
Manly,Sydney,Australia
City Of Kogarah,Sydney,Australia
Lane Cove,Sydney,Australia
Randwick,Sydney,Australia
Penrith,Sydney,Australia
Ku-Ring-Gai,Sydney,Australia
