host_id,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_verifications,host_has_profile_pic,host_identity_verified
22581610,15/10/2014,"Grays Point, Australia",,N/A,,0,FALSE,,1,"['email', 'phone', 'work_email']",TRUE,TRUE
82431568,08/07/2016,"Hornsby, Australia",,N/A,,0,FALSE,,1,"['phone', 'work_email']",TRUE,TRUE
256361237,17/04/2019,"Cronulla, Australia",,N/A,,0,FALSE,,1,['phone'],TRUE,TRUE
306057105,01/11/2019,"Wolli Creek, Australia","Hi I’m Aagy
Goodluck everyone ",N/A,,0,FALSE,,5,"['email', 'phone']",TRUE,TRUE
371237344,09/10/2020,"Old Guildford, Australia",,N/A,,0,FALSE,,1,"['email', 'phone']",TRUE,TRUE
2600158,10/06/2012,"Rose Bay, Australia",,N/A,,50,FALSE,,1,"['email', 'phone']",TRUE,TRUE
4181146,18/11/2012,"Marrickville, Australia","Hi. I am a creative working in product development and love travel I lived abroad for 13 years before returning to Australia. 
Living in the inner west there’s lots to do food markets, restaurants. Bars, breweries and more. 
I have a Boston Terrier Vivienne who lives, works and sometimes travels with me and is a very good girl!",N/A,,82,TRUE,,1,"['phone', 'work_email']",TRUE,TRUE
3589764,17/09/2012,"London, United Kingdom","I'm Erika and from Sydney, Australia! I do alot of travel here and there and love europe the most!",N/A,,,FALSE,,2,"['email', 'phone']",TRUE,TRUE
5491745,16/03/2013,"Melbourne, Australia",Tasmanians. 2 small kids. ,N/A,,,FALSE,,1,"['email', 'phone']",TRUE,TRUE
107963111,21/12/2016,"Auckland, New Zealand",,N/A,,,FALSE,,1,"['email', 'phone']",TRUE,TRUE
231364225,18/12/2018,"Bilgola Plateau, Australia",Happy go lucky!,N/A,,,FALSE,Avalon,1,"['email', 'phone']",TRUE,TRUE
257098011,21/04/2019,"Beecroft, Australia",,N/A,,,FALSE,,2,"['email', 'phone']",TRUE,TRUE
366448825,07/09/2020,"Waterloo, Australia","Hi my name is Peter

Born in  NZ but have German parents. Currently live in Sydney Australia where I am also a Super Host as well as manage a Wine Bar and do support work in aged care. Love exploring new places, meeting new people and food and good wine.",N/A,,,,,4,"['email', 'phone']",TRUE,FALSE
151039448,18/09/2017,"Fairlight, Australia",We are a travelling family who enjoy exploring and meeting people from all walks of life. ,N/A,,100,FALSE,,1,"['email', 'phone']",TRUE,TRUE
4586871,04/01/2013,"Bondi, Australia",,N/A,,67,FALSE,,1,"['email', 'phone']",TRUE,TRUE
